Date,pH
16/01/2015,8.072316
15/02/2015,8.0744705
16/03/2015,8.073552
16/04/2015,8.072793
16/05/2015,8.069903
16/06/2015,8.067667
16/07/2015,8.06578
16/08/2015,8.064447
16/09/2015,8.063636
16/10/2015,8.062809
16/11/2015,8.061745
16/12/2015,8.062414
16/01/2016,8.069498
15/02/2016,8.072955
16/03/2016,8.071193
16/04/2016,8.06847
16/05/2016,8.066061
16/06/2016,8.063715
16/07/2016,8.061908
16/08/2016,8.0605345
16/09/2016,8.059649
16/10/2016,8.05914
16/11/2016,8.058668
16/12/2016,8.06016
16/01/2017,8.066119
15/02/2017,8.0697365
16/03/2017,8.07035
16/04/2017,8.067419
16/05/2017,8.064358
16/06/2017,8.061737
16/07/2017,8.059823
16/08/2017,8.058523
16/09/2017,8.0575285
16/10/2017,8.056879
16/11/2017,8.0569515
16/12/2017,8.0597
16/01/2018,8.064863
15/02/2018,8.067044
16/03/2018,8.067569
16/04/2018,8.065246
16/05/2018,8.062662
16/06/2018,8.059831
16/07/2018,8.057792
16/08/2018,8.056454
16/09/2018,8.055532
16/10/2018,8.054913
16/11/2018,8.054314
16/12/2018,8.054516
16/01/2019,8.056743
15/02/2019,8.062361
16/03/2019,8.064683
16/04/2019,8.06457
16/05/2019,8.0602455
16/06/2019,8.057659
16/07/2019,8.055982
16/08/2019,8.055077
16/09/2019,8.054697
16/10/2019,8.054181
16/11/2019,8.053549
16/12/2019,8.054451
16/01/2020,8.060239
15/02/2020,8.063001
16/03/2020,8.063194
16/04/2020,8.062505
16/05/2020,8.060174
16/06/2020,8.05727
16/07/2020,8.0549555
16/08/2020,8.053539
16/09/2020,8.052679
16/10/2020,8.051969
16/11/2020,8.051696
16/12/2020,8.053289
16/01/2021,8.05755
15/02/2021,8.06369
16/03/2021,8.063923
16/04/2021,8.062084
16/05/2021,8.058833
16/06/2021,8.055957
16/07/2021,8.053761
16/08/2021,8.052288
16/09/2021,8.051365
16/10/2021,8.050648
16/11/2021,8.050279
16/12/2021,8.052066
16/01/2022,8.0544
15/02/2022,8.056713
16/03/2022,8.058237
16/04/2022,8.058462
16/05/2022,8.0553255
16/06/2022,8.052535
16/07/2022,8.050484
16/08/2022,8.049119
16/09/2022,8.048278
16/10/2022,8.047649
16/11/2022,8.047529
16/12/2022,8.049423
16/01/2023,8.0535
15/02/2023,8.054989
16/03/2023,8.056994
16/04/2023,8.057559
16/05/2023,8.0538645
16/06/2023,8.0507965
16/07/2023,8.048587
16/08/2023,8.047144
16/09/2023,8.046181
16/10/2023,8.045468
16/11/2023,8.045051
16/12/2023,8.045383
16/01/2024,8.049697
15/02/2024,8.052932
16/03/2024,8.053422
16/04/2024,8.051681
16/05/2024,8.049844
16/06/2024,8.047581
16/07/2024,8.0459
16/08/2024,8.044476
16/09/2024,8.043531
16/10/2024,8.04272
16/11/2024,8.041983
16/12/2024,8.047647
16/01/2025,8.0521555
15/02/2025,8.054128
16/03/2025,8.053776
16/04/2025,8.052591
16/05/2025,8.049582
16/06/2025,8.046703
16/07/2025,8.044577
16/08/2025,8.04321
16/09/2025,8.042278
16/10/2025,8.041524
16/11/2025,8.040624
16/12/2025,8.040463
16/01/2026,8.04496
15/02/2026,8.048245
16/03/2026,8.0488205
16/04/2026,8.046239
16/05/2026,8.043469
16/06/2026,8.041035
16/07/2026,8.039435
16/08/2026,8.038447
16/09/2026,8.037875
16/10/2026,8.037464
16/11/2026,8.0371275
16/12/2026,8.039634
16/01/2027,8.042507
15/02/2027,8.045016
16/03/2027,8.045893
16/04/2027,8.043179
16/05/2027,8.040234
16/06/2027,8.037753
16/07/2027,8.036073
16/08/2027,8.035068
16/09/2027,8.034507
16/10/2027,8.034299
16/11/2027,8.034001
16/12/2027,8.037216
16/01/2028,8.041245
15/02/2028,8.043532
16/03/2028,8.043205
16/04/2028,8.0418825
16/05/2028,8.039062
16/06/2028,8.036624
16/07/2028,8.034562
16/08/2028,8.033252
16/09/2028,8.032331
16/10/2028,8.03162
16/11/2028,8.03092
16/12/2028,8.031761
16/01/2029,8.0347805
15/02/2029,8.038334
16/03/2029,8.039362
16/04/2029,8.037708
16/05/2029,8.036479
16/06/2029,8.033814
16/07/2029,8.031827
16/08/2029,8.030447
16/09/2029,8.029432
16/10/2029,8.028551
16/11/2029,8.028059
16/12/2029,8.029834
16/01/2030,8.035405
15/02/2030,8.037017
16/03/2030,8.036293
16/04/2030,8.035035
16/05/2030,8.031859
