Date,pH
16/01/2015,8.0718975
15/02/2015,8.074237
16/03/2015,8.074217
16/04/2015,8.073837
16/05/2015,8.070702
16/06/2015,8.068396
16/07/2015,8.066492
16/08/2015,8.065086
16/09/2015,8.063905
16/10/2015,8.063186
16/11/2015,8.063133
16/12/2015,8.062819
16/01/2016,8.064838
15/02/2016,8.069933
16/03/2016,8.071047
16/04/2016,8.068943
16/05/2016,8.066777
16/06/2016,8.064944
16/07/2016,8.063305
16/08/2016,8.062151
16/09/2016,8.061367
16/10/2016,8.060659
16/11/2016,8.059976
16/12/2016,8.062253
16/01/2017,8.069767
15/02/2017,8.071586
16/03/2017,8.072334
16/04/2017,8.069314
16/05/2017,8.065651
16/06/2017,8.06333
16/07/2017,8.061524
16/08/2017,8.060274
16/09/2017,8.059288
16/10/2017,8.0584755
16/11/2017,8.058329
16/12/2017,8.059226
16/01/2018,8.061227
15/02/2018,8.063462
16/03/2018,8.066753
16/04/2018,8.065647
16/05/2018,8.062674
16/06/2018,8.060151
16/07/2018,8.058331
16/08/2018,8.057222
16/09/2018,8.056549
16/10/2018,8.056134
16/11/2018,8.055879
16/12/2018,8.058172
16/01/2019,8.062252
15/02/2019,8.066602
16/03/2019,8.066682
16/04/2019,8.065588
16/05/2019,8.063109
16/06/2019,8.059934
16/07/2019,8.0573435
16/08/2019,8.055558
16/09/2019,8.054452
16/10/2019,8.05373
16/11/2019,8.053257
16/12/2019,8.053885
16/01/2020,8.0577135
15/02/2020,8.061525
16/03/2020,8.063314
16/04/2020,8.060955
16/05/2020,8.057861
16/06/2020,8.055528
16/07/2020,8.053851
16/08/2020,8.052825
16/09/2020,8.052186
16/10/2020,8.051633
16/11/2020,8.051247
16/12/2020,8.052329
16/01/2021,8.055657
15/02/2021,8.06046
16/03/2021,8.062868
16/04/2021,8.062024
16/05/2021,8.05903
16/06/2021,8.056589
16/07/2021,8.054564
16/08/2021,8.053004
16/09/2021,8.051921
16/10/2021,8.051071
16/11/2021,8.050592
16/12/2021,8.052316
16/01/2022,8.057014
15/02/2022,8.059132
16/03/2022,8.061282
16/04/2022,8.059254
16/05/2022,8.056068
16/06/2022,8.05371
16/07/2022,8.052101
16/08/2022,8.050845
16/09/2022,8.049892
16/10/2022,8.048955
16/11/2022,8.048197
16/12/2022,8.049345
16/01/2023,8.0522585
15/02/2023,8.057437
16/03/2023,8.059101
16/04/2023,8.057708
16/05/2023,8.054299
16/06/2023,8.051524
16/07/2023,8.049412
16/08/2023,8.047846
16/09/2023,8.046744
16/10/2023,8.045759
16/11/2023,8.044774
16/12/2023,8.0467825
16/01/2024,8.051236
15/02/2024,8.052821
16/03/2024,8.053098
16/04/2024,8.05282
16/05/2024,8.048967
16/06/2024,8.046703
16/07/2024,8.045189
16/08/2024,8.044289
16/09/2024,8.043563
16/10/2024,8.04292
16/11/2024,8.042622
16/12/2024,8.044762
16/01/2025,8.048825
15/02/2025,8.050381
16/03/2025,8.049814
16/04/2025,8.04801
16/05/2025,8.045361
16/06/2025,8.043334
16/07/2025,8.041856
16/08/2025,8.041067
16/09/2025,8.040654
16/10/2025,8.04044
16/11/2025,8.040596
16/12/2025,8.041461
16/01/2026,8.044167
15/02/2026,8.0481825
16/03/2026,8.048857
16/04/2026,8.047059
16/05/2026,8.044362
16/06/2026,8.041659
16/07/2026,8.039814
16/08/2026,8.038677
16/09/2026,8.03809
16/10/2026,8.037775
16/11/2026,8.037612
16/12/2026,8.0391865
16/01/2027,8.042964
15/02/2027,8.0446615
16/03/2027,8.044692
16/04/2027,8.0432005
16/05/2027,8.040714
16/06/2027,8.038586
16/07/2027,8.037002
16/08/2027,8.036188
16/09/2027,8.035728
16/10/2027,8.035266
16/11/2027,8.034798
16/12/2027,8.034771
16/01/2028,8.03671
15/02/2028,8.040835
16/03/2028,8.043787
16/04/2028,8.041562
16/05/2028,8.0385
16/06/2028,8.036465
16/07/2028,8.035133
16/08/2028,8.034416
16/09/2028,8.033836
16/10/2028,8.033268
16/11/2028,8.033063
16/12/2028,8.035149
16/01/2029,8.038514
15/02/2029,8.041464
16/03/2029,8.041011
16/04/2029,8.0400095
16/05/2029,8.037014
16/06/2029,8.034543
16/07/2029,8.032736
16/08/2029,8.031456
16/09/2029,8.030624
16/10/2029,8.030114
16/11/2029,8.029533
16/12/2029,8.029425
16/01/2030,8.031524
15/02/2030,8.035639
16/03/2030,8.035347
16/04/2030,8.03378
16/05/2030,8.031498
16/06/2030,8.029331
16/07/2030,8.027579
16/08/2030,8.02648
16/09/2030,8.025692
16/10/2030,8.025143
16/11/2030,8.02496
16/12/2030,8.026394
16/01/2031,8.028228
15/02/2031,8.031886
16/03/2031,8.032592
16/04/2031,8.029829
16/05/2031,8.026804
16/06/2031,8.024281
16/07/2031,8.022519
16/08/2031,8.0213175
16/09/2031,8.0205965
16/10/2031,8.020176
16/11/2031,8.020009
16/12/2031,8.020513
16/01/2032,8.024033
15/02/2032,8.027302
16/03/2032,8.029425
16/04/2032,8.027244
16/05/2032,8.02465
16/06/2032,8.022139
16/07/2032,8.020319
16/08/2032,8.019214
16/09/2032,8.018547
16/10/2032,8.018215
16/11/2032,8.018206
16/12/2032,8.018484
16/01/2033,8.023094
15/02/2033,8.02651
16/03/2033,8.02598
16/04/2033,8.023938
16/05/2033,8.021311
16/06/2033,8.019166
16/07/2033,8.017681
16/08/2033,8.016618
16/09/2033,8.016097
16/10/2033,8.0158615
16/11/2033,8.01585
16/12/2033,8.016665
16/01/2034,8.018849
15/02/2034,8.021255
16/03/2034,8.022013
16/04/2034,8.021387
16/05/2034,8.018873
16/06/2034,8.01669
16/07/2034,8.015223
16/08/2034,8.014172
16/09/2034,8.013522
16/10/2034,8.013201
16/11/2034,8.012747
16/12/2034,8.013198
16/01/2035,8.015905
15/02/2035,8.021407
16/03/2035,8.022421
16/04/2035,8.019109
16/05/2035,8.016489
16/06/2035,8.013959
16/07/2035,8.012075
16/08/2035,8.010995
16/09/2035,8.010417
16/10/2035,8.009812
16/11/2035,8.009374
16/12/2035,8.009797
16/01/2036,8.015009
15/02/2036,8.020083
16/03/2036,8.020992
16/04/2036,8.018227
16/05/2036,8.015051
16/06/2036,8.012779
16/07/2036,8.011242
16/08/2036,8.010238
16/09/2036,8.009668
16/10/2036,8.009261
16/11/2036,8.008941
16/12/2036,8.010606
16/01/2037,8.014306
15/02/2037,8.016068
16/03/2037,8.016633
16/04/2037,8.0153
16/05/2037,8.011713
16/06/2037,8.0090885
16/07/2037,8.007381
16/08/2037,8.006189
16/09/2037,8.005559
16/10/2037,8.005255
16/11/2037,8.00474
16/12/2037,8.005468
16/01/2038,8.008384
15/02/2038,8.0119295
16/03/2038,8.013405
16/04/2038,8.010871
16/05/2038,8.007547
16/06/2038,8.004701
16/07/2038,8.0026655
16/08/2038,8.001392
16/09/2038,8.00067
16/10/2038,8.000188
16/11/2038,8.000034
16/12/2038,8.0002575
16/01/2039,8.002571
15/02/2039,8.005765
16/03/2039,8.007669
16/04/2039,8.00568
16/05/2039,8.003139
16/06/2039,8.000476
16/07/2039,7.998655
16/08/2039,7.997488
16/09/2039,7.996817
16/10/2039,7.9963274
16/11/2039,7.9960713
16/12/2039,7.996564
16/01/2040,7.997196
15/02/2040,8.000997
16/03/2040,8.0023365
16/04/2040,8.000523
16/05/2040,7.9977303
16/06/2040,7.9955297
16/07/2040,7.994134
16/08/2040,7.993389
16/09/2040,7.9929876
16/10/2040,7.9928102
16/11/2040,7.993085
16/12/2040,7.9956813
16/01/2041,7.998524
15/02/2041,8.000005
16/03/2041,7.999004
16/04/2041,7.997241
16/05/2041,7.995093
16/06/2041,7.9933753
16/07/2041,7.992368
16/08/2041,7.9917645
16/09/2041,7.9914074
16/10/2041,7.991531
16/11/2041,7.9917445
16/12/2041,7.9939923
16/01/2042,7.9973316
15/02/2042,7.9994226
16/03/2042,8.000107
16/04/2042,7.997751
16/05/2042,7.9947767
16/06/2042,7.9921436
16/07/2042,7.990155
16/08/2042,7.9889073
16/09/2042,7.9882154
16/10/2042,7.9879003
16/11/2042,7.987898
16/12/2042,7.988886
16/01/2043,7.992576
15/02/2043,7.995929
16/03/2043,7.996481
16/04/2043,7.9941435
16/05/2043,7.991376
16/06/2043,7.9890003
16/07/2043,7.987289
16/08/2043,7.9861684
16/09/2043,7.985676
16/10/2043,7.985343
16/11/2043,7.9853215
16/12/2043,7.9869204
16/01/2044,7.9880815
15/02/2044,7.990498
16/03/2044,7.9909496
16/04/2044,7.9876747
16/05/2044,7.985413
16/06/2044,7.9833937
16/07/2044,7.9818926
16/08/2044,7.9812446
16/09/2044,7.98109
16/10/2044,7.9810658
16/11/2044,7.981344
16/12/2044,7.9822516
16/01/2045,7.9842043
15/02/2045,7.98712
16/03/2045,7.9875474
16/04/2045,7.9853806
16/05/2045,7.9822164
16/06/2045,7.9794025
16/07/2045,7.97776
16/08/2045,7.9769588
16/09/2045,7.976744
16/10/2045,7.9766583
16/11/2045,7.9767084
16/12/2045,7.9786577
16/01/2046,7.98277
15/02/2046,7.983246
16/03/2046,7.982285
16/04/2046,7.979896
16/05/2046,7.977335
16/06/2046,7.975318
16/07/2046,7.9739375
16/08/2046,7.9730086
16/09/2046,7.9725647
16/10/2046,7.972277
16/11/2046,7.972147
16/12/2046,7.9722633
16/01/2047,7.9738793
15/02/2047,7.9762416
16/03/2047,7.9759016
16/04/2047,7.9746795
16/05/2047,7.97282
16/06/2047,7.9710426
16/07/2047,7.9697304
16/08/2047,7.968883
16/09/2047,7.968313
16/10/2047,7.967808
16/11/2047,7.9674196
16/12/2047,7.9686036
16/01/2048,7.9717336
15/02/2048,7.971631
16/03/2048,7.9716673
16/04/2048,7.971013
16/05/2048,7.968739
16/06/2048,7.966102
16/07/2048,7.9643383
16/08/2048,7.963419
16/09/2048,7.9631214
16/10/2048,7.962958
16/11/2048,7.9630647
16/12/2048,7.964806
16/01/2049,7.966254
15/02/2049,7.9672704
16/03/2049,7.968501
16/04/2049,7.967035
16/05/2049,7.9641333
16/06/2049,7.961787
16/07/2049,7.96004
16/08/2049,7.958997
16/09/2049,7.9583716
16/10/2049,7.957977
16/11/2049,7.9581776
16/12/2049,7.958417
16/01/2050,7.9587355
15/02/2050,7.9619093
16/03/2050,7.9629493
16/04/2050,7.9613338
16/05/2050,7.958287
16/06/2050,7.9561157
16/07/2050,7.9546056
16/08/2050,7.9537706
16/09/2050,7.9533596
16/10/2050,7.9531765
16/11/2050,7.9532924
16/12/2050,7.9537525
16/01/2051,7.955665
15/02/2051,7.9579496
16/03/2051,7.958167
16/04/2051,7.9566956
16/05/2051,7.954579
16/06/2051,7.9526424
16/07/2051,7.9509296
16/08/2051,7.949809
16/09/2051,7.9491034
16/10/2051,7.948514
16/11/2051,7.9484253
16/12/2051,7.9496655
16/01/2052,7.952545
15/02/2052,7.9532323
16/03/2052,7.9544983
16/04/2052,7.9540143
16/05/2052,7.9509606
16/06/2052,7.9487658
16/07/2052,7.946912
16/08/2052,7.9456067
16/09/2052,7.944691
16/10/2052,7.9438267
16/11/2052,7.9433107
