Date,Salinity
16/01/2015,35.93333
15/02/2015,35.93315
16/03/2015,35.93146
16/04/2015,35.93431
16/05/2015,35.93292
16/06/2015,35.933865
16/07/2015,35.934795
16/08/2015,35.935867
16/09/2015,35.937515
16/10/2015,35.94044
16/11/2015,35.94286
16/12/2015,35.9473
16/01/2016,35.951527
15/02/2016,35.93546
16/03/2016,35.926704
16/04/2016,35.92584
16/05/2016,35.93638
16/06/2016,35.947826
16/07/2016,35.95752
16/08/2016,35.96559
16/09/2016,35.97131
16/10/2016,35.976036
16/11/2016,35.979828
16/12/2016,35.98279
16/01/2017,35.938953
15/02/2017,35.931767
16/03/2017,35.9369
16/04/2017,35.92466
16/05/2017,35.922806
16/06/2017,35.924248
16/07/2017,35.927208
16/08/2017,35.932945
16/09/2017,35.93782
16/10/2017,35.943596
16/11/2017,35.94419
16/12/2017,35.94
16/01/2018,35.923466
15/02/2018,35.922764
16/03/2018,35.925682
16/04/2018,35.913643
16/05/2018,35.914722
16/06/2018,35.917427
16/07/2018,35.92178
16/08/2018,35.928844
16/09/2018,35.93692
16/10/2018,35.944008
16/11/2018,35.951595
16/12/2018,35.936237
16/01/2019,35.90519
15/02/2019,35.88667
16/03/2019,35.877586
16/04/2019,35.86863
16/05/2019,35.856026
16/06/2019,35.850166
16/07/2019,35.846493
16/08/2019,35.8466
16/09/2019,35.850624
16/10/2019,35.855736
16/11/2019,35.862324
16/12/2019,35.866234
16/01/2020,35.846348
15/02/2020,35.83028
16/03/2020,35.815235
16/04/2020,35.80863
16/05/2020,35.8138
16/06/2020,35.82006
16/07/2020,35.827656
16/08/2020,35.837555
16/09/2020,35.84782
16/10/2020,35.860172
16/11/2020,35.87383
16/12/2020,35.87694
16/01/2021,35.866547
15/02/2021,35.877987
16/03/2021,35.865913
16/04/2021,35.863735
16/05/2021,35.865677
16/06/2021,35.870728
16/07/2021,35.8762
16/08/2021,35.88166
16/09/2021,35.888596
16/10/2021,35.896873
16/11/2021,35.905666
16/12/2021,35.88978
16/01/2022,35.873135
15/02/2022,35.878693
16/03/2022,35.876984
16/04/2022,35.86867
16/05/2022,35.87519
16/06/2022,35.88533
16/07/2022,35.89573
