Date,Salinity
16/01/2015,35.935307
15/02/2015,35.93593
16/03/2015,35.936974
16/04/2015,35.939938
16/05/2015,35.939342
16/06/2015,35.93599
16/07/2015,35.934193
16/08/2015,35.934906
16/09/2015,35.936386
16/10/2015,35.938515
16/11/2015,35.940094
16/12/2015,35.92889
16/01/2016,35.903522
15/02/2016,35.912495
16/03/2016,35.907284
16/04/2016,35.896698
16/05/2016,35.89572
16/06/2016,35.899433
16/07/2016,35.90482
16/08/2016,35.91052
16/09/2016,35.916325
16/10/2016,35.922318
16/11/2016,35.926006
16/12/2016,35.933735
16/01/2017,35.94542
15/02/2017,35.91452
16/03/2017,35.905704
16/04/2017,35.908104
16/05/2017,35.917294
16/06/2017,35.925804
16/07/2017,35.93187
16/08/2017,35.93793
16/09/2017,35.945507
16/10/2017,35.953842
16/11/2017,35.958664
16/12/2017,35.9514
16/01/2018,35.941322
15/02/2018,35.91723
16/03/2018,35.912613
16/04/2018,35.905407
16/05/2018,35.906284
16/06/2018,35.911667
16/07/2018,35.91909
16/08/2018,35.92793
16/09/2018,35.93562
16/10/2018,35.94311
16/11/2018,35.947483
16/12/2018,35.943146
16/01/2019,35.906498
15/02/2019,35.896
16/03/2019,35.88864
16/04/2019,35.88096
16/05/2019,35.881203
16/06/2019,35.886055
16/07/2019,35.892292
16/08/2019,35.9017
16/09/2019,35.91338
16/10/2019,35.926235
16/11/2019,35.940304
16/12/2019,35.94978
16/01/2020,35.9465
15/02/2020,35.916126
16/03/2020,35.91433
16/04/2020,35.915024
16/05/2020,35.923412
16/06/2020,35.929283
16/07/2020,35.933212
16/08/2020,35.937084
16/09/2020,35.94147
16/10/2020,35.946934
16/11/2020,35.951843
16/12/2020,35.953835
16/01/2021,35.935825
15/02/2021,35.909946
16/03/2021,35.91729
16/04/2021,35.912544
16/05/2021,35.90908
16/06/2021,35.91204
16/07/2021,35.91581
16/08/2021,35.92184
16/09/2021,35.929527
16/10/2021,35.938072
16/11/2021,35.94604
16/12/2021,35.926632
16/01/2022,35.921337
15/02/2022,35.913708
16/03/2022,35.90942
16/04/2022,35.914825
16/05/2022,35.921783
16/06/2022,35.926437
16/07/2022,35.931503
16/08/2022,35.93962
16/09/2022,35.946903
16/10/2022,35.952587
16/11/2022,35.9553
16/12/2022,35.943607
16/01/2023,35.917084
15/02/2023,35.899284
16/03/2023,35.909264
16/04/2023,35.91096
16/05/2023,35.908024
16/06/2023,35.90677
16/07/2023,35.909924
16/08/2023,35.91488
16/09/2023,35.921356
16/10/2023,35.92856
16/11/2023,35.935337
16/12/2023,35.946243
16/01/2024,35.965237
15/02/2024,35.973656
16/03/2024,35.9728
16/04/2024,35.960693
16/05/2024,35.95149
16/06/2024,35.94854
16/07/2024,35.948326
16/08/2024,35.950684
16/09/2024,35.95189
16/10/2024,35.95652
16/11/2024,35.962433
16/12/2024,35.967377
16/01/2025,35.94265
15/02/2025,35.922207
16/03/2025,35.924694
16/04/2025,35.93332
16/05/2025,35.937817
16/06/2025,35.943188
16/07/2025,35.951263
16/08/2025,35.958973
16/09/2025,35.966644
16/10/2025,35.973522
16/11/2025,35.978073
16/12/2025,35.98088
16/01/2026,35.959408
15/02/2026,35.942562
16/03/2026,35.9431
16/04/2026,35.939068
16/05/2026,35.940372
16/06/2026,35.944748
16/07/2026,35.949783
16/08/2026,35.956635
16/09/2026,35.964283
16/10/2026,35.97192
16/11/2026,35.979015
16/12/2026,35.980335
16/01/2027,35.97076
15/02/2027,35.953808
16/03/2027,35.95969
16/04/2027,35.954193
16/05/2027,35.953217
16/06/2027,35.95191
16/07/2027,35.95347
16/08/2027,35.958588
16/09/2027,35.96483
16/10/2027,35.97219
16/11/2027,35.97826
16/12/2027,35.966946
16/01/2028,35.931202
15/02/2028,35.932438
16/03/2028,35.92664
16/04/2028,35.9271
16/05/2028,35.92562
16/06/2028,35.927387
16/07/2028,35.93035
16/08/2028,35.932304
16/09/2028,35.935234
16/10/2028,35.941315
16/11/2028,35.948246
16/12/2028,35.952393
16/01/2029,35.923775
15/02/2029,35.916214
16/03/2029,35.89186
16/04/2029,35.891052
16/05/2029,35.891235
16/06/2029,35.888878
16/07/2029,35.889595
16/08/2029,35.893234
16/09/2029,35.897675
16/10/2029,35.90277
16/11/2029,35.90557
16/12/2029,35.902348
16/01/2030,35.897423
15/02/2030,35.871334
16/03/2030,35.871086
16/04/2030,35.865395
16/05/2030,35.863155
16/06/2030,35.86346
16/07/2030,35.866188
16/08/2030,35.87059
16/09/2030,35.876232
16/10/2030,35.883595
16/11/2030,35.88846
16/12/2030,35.87305
16/01/2031,35.83236
15/02/2031,35.82948
16/03/2031,35.828583
16/04/2031,35.83479
16/05/2031,35.843204
16/06/2031,35.850582
16/07/2031,35.856094
16/08/2031,35.863026
16/09/2031,35.870472
16/10/2031,35.878372
16/11/2031,35.887074
16/12/2031,35.889633
16/01/2032,35.881805
15/02/2032,35.865913
16/03/2032,35.857494
16/04/2032,35.85145
16/05/2032,35.85339
16/06/2032,35.856033
16/07/2032,35.860706
16/08/2032,35.86797
16/09/2032,35.87556
16/10/2032,35.88424
16/11/2032,35.890594
16/12/2032,35.870796
16/01/2033,35.85474
15/02/2033,35.842632
16/03/2033,35.843323
16/04/2033,35.84758
16/05/2033,35.85263
16/06/2033,35.859573
16/07/2033,35.86739
16/08/2033,35.875782
16/09/2033,35.882935
16/10/2033,35.89028
16/11/2033,35.89539
16/12/2033,35.898384
16/01/2034,35.89014
15/02/2034,35.8992
16/03/2034,35.915592
16/04/2034,35.915398
16/05/2034,35.915764
16/06/2034,35.918934
16/07/2034,35.92333
16/08/2034,35.92874
16/09/2034,35.933716
16/10/2034,35.939
16/11/2034,35.94635
16/12/2034,35.945625
16/01/2035,35.922028
15/02/2035,35.932743
16/03/2035,35.947437
16/04/2035,35.947155
16/05/2035,35.947758
16/06/2035,35.950085
16/07/2035,35.953968
16/08/2035,35.958717
16/09/2035,35.961723
16/10/2035,35.964535
16/11/2035,35.968693
16/12/2035,35.956005
16/01/2036,35.944687
15/02/2036,35.94627
16/03/2036,35.939476
16/04/2036,35.947826
16/05/2036,35.951996
16/06/2036,35.959496
16/07/2036,35.96592
16/08/2036,35.973568
16/09/2036,35.980522
16/10/2036,35.985733
16/11/2036,35.987484
16/12/2036,35.973667
16/01/2037,35.96036
15/02/2037,35.949127
16/03/2037,35.939934
16/04/2037,35.922325
16/05/2037,35.92421
16/06/2037,35.927032
16/07/2037,35.92796
16/08/2037,35.93105
16/09/2037,35.93465
16/10/2037,35.936226
16/11/2037,35.935596
16/12/2037,35.93208
16/01/2038,35.927357
15/02/2038,35.900497
16/03/2038,35.88637
16/04/2038,35.87448
16/05/2038,35.868546
16/06/2038,35.870018
16/07/2038,35.87365
16/08/2038,35.88095
16/09/2038,35.88897
16/10/2038,35.895805
16/11/2038,35.902817
16/12/2038,35.897514
16/01/2039,35.879898
15/02/2039,35.893753
16/03/2039,35.896408
16/04/2039,35.89357
16/05/2039,35.898033
16/06/2039,35.905872
16/07/2039,35.912617
16/08/2039,35.92174
16/09/2039,35.929935
16/10/2039,35.935596
16/11/2039,35.93811
16/12/2039,35.932198
16/01/2040,35.920425
15/02/2040,35.89247
16/03/2040,35.886723
16/04/2040,35.884182
16/05/2040,35.88743
16/06/2040,35.888775
16/07/2040,35.892334
16/08/2040,35.899296
16/09/2040,35.906597
16/10/2040,35.91237
16/11/2040,35.916363
16/12/2040,35.91059
16/01/2041,35.88416
15/02/2041,35.87021
16/03/2041,35.864456
16/04/2041,35.866894
16/05/2041,35.86827
16/06/2041,35.872593
16/07/2041,35.876423
16/08/2041,35.882984
16/09/2041,35.891582
16/10/2041,35.90035
16/11/2041,35.90797
16/12/2041,35.908115
16/01/2042,35.902447
15/02/2042,35.874176
16/03/2042,35.877518
16/04/2042,35.886208
16/05/2042,35.894585
16/06/2042,35.90249
16/07/2042,35.910133
16/08/2042,35.918575
16/09/2042,35.92605
16/10/2042,35.932106
16/11/2042,35.932423
