Date,Salinity
16/01/2015,35.9349
15/02/2015,35.928024
16/03/2015,35.923782
16/04/2015,35.927113
16/05/2015,35.92888
16/06/2015,35.932392
16/07/2015,35.934578
16/08/2015,35.93692
16/09/2015,35.94031
16/10/2015,35.94324
16/11/2015,35.945797
16/12/2015,35.943077
16/01/2016,35.907852
15/02/2016,35.906006
16/03/2016,35.882923
16/04/2016,35.871834
16/05/2016,35.872528
16/06/2016,35.87707
16/07/2016,35.884037
16/08/2016,35.89197
16/09/2016,35.90077
16/10/2016,35.91039
16/11/2016,35.919804
16/12/2016,35.91992
16/01/2017,35.896725
15/02/2017,35.883865
16/03/2017,35.88036
16/04/2017,35.876144
16/05/2017,35.87936
16/06/2017,35.883865
16/07/2017,35.889687
16/08/2017,35.896187
16/09/2017,35.90299
16/10/2017,35.91096
16/11/2017,35.916523
16/12/2017,35.905956
16/01/2018,35.872536
15/02/2018,35.858173
16/03/2018,35.855717
16/04/2018,35.846725
16/05/2018,35.84513
16/06/2018,35.84583
16/07/2018,35.847485
16/08/2018,35.85017
16/09/2018,35.855404
16/10/2018,35.862617
16/11/2018,35.870792
16/12/2018,35.87395
16/01/2019,35.86234
15/02/2019,35.84977
16/03/2019,35.837162
16/04/2019,35.84363
16/05/2019,35.84641
16/06/2019,35.856777
16/07/2019,35.867897
16/08/2019,35.881
16/09/2019,35.89546
16/10/2019,35.90796
16/11/2019,35.919125
16/12/2019,35.93201
16/01/2020,35.929165
15/02/2020,35.91118
16/03/2020,35.89917
16/04/2020,35.907887
16/05/2020,35.906296
16/06/2020,35.907524
16/07/2020,35.9127
16/08/2020,35.92023
16/09/2020,35.929657
16/10/2020,35.94078
16/11/2020,35.952583
16/12/2020,35.9541
16/01/2021,35.940605
15/02/2021,35.92657
16/03/2021,35.91406
16/04/2021,35.89926
16/05/2021,35.890327
16/06/2021,35.890385
16/07/2021,35.892174
16/08/2021,35.895844
16/09/2021,35.901196
16/10/2021,35.90868
16/11/2021,35.9156
16/12/2021,35.899433
16/01/2022,35.88158
15/02/2022,35.872684
16/03/2022,35.87993
16/04/2022,35.888115
16/05/2022,35.88693
16/06/2022,35.88946
16/07/2022,35.89408
16/08/2022,35.900963
16/09/2022,35.909576
16/10/2022,35.917538
16/11/2022,35.926144
16/12/2022,35.919262
16/01/2023,35.90194
15/02/2023,35.900307
16/03/2023,35.905052
16/04/2023,35.911903
16/05/2023,35.908657
16/06/2023,35.908375
16/07/2023,35.91063
16/08/2023,35.9152
16/09/2023,35.920616
16/10/2023,35.926865
16/11/2023,35.93351
16/12/2023,35.934048
16/01/2024,35.910854
15/02/2024,35.9099
16/03/2024,35.908695
16/04/2024,35.911644
16/05/2024,35.9146
16/06/2024,35.921154
16/07/2024,35.927635
16/08/2024,35.9345
16/09/2024,35.941845
16/10/2024,35.950336
16/11/2024,35.957165
16/12/2024,35.924023
16/01/2025,35.91667
15/02/2025,35.91223
16/03/2025,35.905907
16/04/2025,35.91521
16/05/2025,35.913513
16/06/2025,35.912277
16/07/2025,35.912483
16/08/2025,35.914673
16/09/2025,35.918972
16/10/2025,35.924118
16/11/2025,35.928818
16/12/2025,35.929184
16/01/2026,35.90029
15/02/2026,35.888233
