Date,Salinity
16/05/2034,35.89887
16/06/2034,35.900646
16/07/2034,35.904552
16/08/2034,35.91058
16/09/2034,35.91809
16/10/2034,35.925106
16/11/2034,35.930294
16/12/2034,35.92433
16/01/2035,35.894882
15/02/2035,35.881756
16/03/2035,35.877083
16/04/2035,35.871517
16/05/2035,35.883995
16/06/2035,35.8941
16/07/2035,35.90391
16/08/2035,35.915928
16/09/2035,35.927284
16/10/2035,35.93836
16/11/2035,35.94644
16/12/2035,35.954136
16/01/2036,35.95054
15/02/2036,35.92526
16/03/2036,35.927956
16/04/2036,35.93385
16/05/2036,35.938217
16/06/2036,35.945545
16/07/2036,35.953075
16/08/2036,35.961708
16/09/2036,35.97011
16/10/2036,35.975983
16/11/2036,35.97856
16/12/2036,35.96789
16/01/2037,35.923996
15/02/2037,35.91195
16/03/2037,35.90357
16/04/2037,35.90426
16/05/2037,35.90171
16/06/2037,35.903904
16/07/2037,35.910164
16/08/2037,35.918907
16/09/2037,35.92813
16/10/2037,35.93879
16/11/2037,35.948624
16/12/2037,35.945366
16/01/2038,35.902912
15/02/2038,35.892773
16/03/2038,35.892956
16/04/2038,35.901047
16/05/2038,35.90319
16/06/2038,35.91169
16/07/2038,35.92072
16/08/2038,35.930275
16/09/2038,35.94101
16/10/2038,35.952904
16/11/2038,35.961403
16/12/2038,35.95123
16/01/2039,35.945038
15/02/2039,35.947662
16/03/2039,35.948658
16/04/2039,35.94916
16/05/2039,35.956825
16/06/2039,35.96062
16/07/2039,35.967083
16/08/2039,35.974545
16/09/2039,35.982246
16/10/2039,35.988937
16/11/2039,35.99542
16/12/2039,35.990788
16/01/2040,35.95683
15/02/2040,35.938354
16/03/2040,35.93599
16/04/2040,35.94373
16/05/2040,35.953102
16/06/2040,35.960236
16/07/2040,35.967155
16/08/2040,35.976505
16/09/2040,35.9853
16/10/2040,35.991455
16/11/2040,35.994843
16/12/2040,35.99444
16/01/2041,35.964725
15/02/2041,35.945183
16/03/2041,35.94319
16/04/2041,35.944866
16/05/2041,35.94974
16/06/2041,35.95176
16/07/2041,35.956234
16/08/2041,35.96254
16/09/2041,35.966656
16/10/2041,35.968784
16/11/2041,35.970253
16/12/2041,35.967125
16/01/2042,35.9644
15/02/2042,35.94352
16/03/2042,35.944603
16/04/2042,35.947735
16/05/2042,35.950855
16/06/2042,35.95361
16/07/2042,35.95668
16/08/2042,35.960728
16/09/2042,35.966442
16/10/2042,35.97179
16/11/2042,35.97866
16/12/2042,35.985302
16/01/2043,35.983433
15/02/2043,35.951416
16/03/2043,35.95483
16/04/2043,35.97098
16/05/2043,35.979767
16/06/2043,35.988045
16/07/2043,35.995487
16/08/2043,36.00349
16/09/2043,36.011425
16/10/2043,36.016666
16/11/2043,36.016556
16/12/2043,36.013702
16/01/2044,36.023632
15/02/2044,36.021362
16/03/2044,36.0168
16/04/2044,36.011486
16/05/2044,36.00947
16/06/2044,36.008106
16/07/2044,36.008236
16/08/2044,36.010864
16/09/2044,36.015266
16/10/2044,36.019604
16/11/2044,36.02428
16/12/2044,36.00631
16/01/2045,35.981045
15/02/2045,35.9747
16/03/2045,35.987026
16/04/2045,35.98382
16/05/2045,35.983334
16/06/2045,35.980534
16/07/2045,35.982094
16/08/2045,35.98669
16/09/2045,35.991573
16/10/2045,35.997524
16/11/2045,36.003048
16/12/2045,35.9823
16/01/2046,35.942245
15/02/2046,35.935093
16/03/2046,35.938915
16/04/2046,35.940014
16/05/2046,35.93743
16/06/2046,35.93342
16/07/2046,35.934315
16/08/2046,35.93849
16/09/2046,35.945675
16/10/2046,35.952168
16/11/2046,35.95985
16/12/2046,35.96476
16/01/2047,35.93833
15/02/2047,35.929226
16/03/2047,35.929493
16/04/2047,35.933575
16/05/2047,35.938187
16/06/2047,35.941513
16/07/2047,35.945995
16/08/2047,35.950855
16/09/2047,35.95647
16/10/2047,35.962673
16/11/2047,35.967796
16/12/2047,35.959484
16/01/2048,35.920914
15/02/2048,35.909126
16/03/2048,35.89956
16/04/2048,35.904984
16/05/2048,35.906654
16/06/2048,35.909473
16/07/2048,35.91326
16/08/2048,35.918888
16/09/2048,35.926796
16/10/2048,35.93452
16/11/2048,35.942368
16/12/2048,35.946957
16/01/2049,35.939518
15/02/2049,35.92899
16/03/2049,35.950974
16/04/2049,35.963444
16/05/2049,35.973022
16/06/2049,35.980515
16/07/2049,35.987602
16/08/2049,35.995323
16/09/2049,36.00248
16/10/2049,36.008495
16/11/2049,36.016582
16/12/2049,36.01617
16/01/2050,35.990482
15/02/2050,35.96472
16/03/2050,35.958965
16/04/2050,35.954025
16/05/2050,35.95062
16/06/2050,35.94939
16/07/2050,35.953403
16/08/2050,35.960514
16/09/2050,35.9684
16/10/2050,35.97505
16/11/2050,35.98062
16/12/2050,35.976074
16/01/2051,35.942574
15/02/2051,35.921978
16/03/2051,35.92963
16/04/2051,35.92855
16/05/2051,35.92922
16/06/2051,35.930313
16/07/2051,35.933266
16/08/2051,35.937363
16/09/2051,35.94415
16/10/2051,35.952496
16/11/2051,35.95863
16/12/2051,35.95993
16/01/2052,35.94557
15/02/2052,35.916096
16/03/2052,35.919033
16/04/2052,35.927628
16/05/2052,35.936054
16/06/2052,35.94505
16/07/2052,35.95405
16/08/2052,35.96545
16/09/2052,35.975697
16/10/2052,35.98581
16/11/2052,35.99422
16/12/2052,35.986507
16/01/2053,35.934418
15/02/2053,35.926254
16/03/2053,35.930477
16/04/2053,35.94047
16/05/2053,35.949734
16/06/2053,35.957253
16/07/2053,35.966896
16/08/2053,35.97744
16/09/2053,35.98717
16/10/2053,35.995007
16/11/2053,36.001488
16/12/2053,35.99921
16/01/2054,35.96322
15/02/2054,35.933582
16/03/2054,35.931343
16/04/2054,35.924026
16/05/2054,35.92499
16/06/2054,35.9267
16/07/2054,35.928852
16/08/2054,35.932358
16/09/2054,35.937496
16/10/2054,35.94266
16/11/2054,35.946712
16/12/2054,35.94594
16/01/2055,35.942787
15/02/2055,35.946514
16/03/2055,35.9292
16/04/2055,35.92877
16/05/2055,35.928707
16/06/2055,35.92731
16/07/2055,35.926247
16/08/2055,35.928947
16/09/2055,35.933018
16/10/2055,35.93481
16/11/2055,35.934658
16/12/2055,35.92516
16/01/2056,35.91738
15/02/2056,35.907204
16/03/2056,35.904907
16/04/2056,35.912704
16/05/2056,35.91894
16/06/2056,35.92657
16/07/2056,35.935863
16/08/2056,35.943985
16/09/2056,35.951084
16/10/2056,35.956818
16/11/2056,35.962124
16/12/2056,35.958218
16/01/2057,35.92702
15/02/2057,35.93162
16/03/2057,35.932255
16/04/2057,35.934017
16/05/2057,35.942596
16/06/2057,35.944492
16/07/2057,35.948666
16/08/2057,35.955288
16/09/2057,35.96183
16/10/2057,35.96817
16/11/2057,35.97135
16/12/2057,35.95453
16/01/2058,35.937016
15/02/2058,35.94726
16/03/2058,35.946987
16/04/2058,35.948795
16/05/2058,35.947002
16/06/2058,35.950752
16/07/2058,35.956474
16/08/2058,35.96437
16/09/2058,35.974842
16/10/2058,35.984814
16/11/2058,35.994774
16/12/2058,35.99147
16/01/2059,35.94596
15/02/2059,35.93634
16/03/2059,35.95421
16/04/2059,35.96429
16/05/2059,35.979298
16/06/2059,35.99447
16/07/2059,36.008423
16/08/2059,36.022488
16/09/2059,36.033897
16/10/2059,36.04318
16/11/2059,36.0504
16/12/2059,36.05462
16/01/2060,36.034386
15/02/2060,36.009655
16/03/2060,36.014088
16/04/2060,36.017452
16/05/2060,36.02621
16/06/2060,36.035698
16/07/2060,36.04515
16/08/2060,36.053734
16/09/2060,36.059383
16/10/2060,36.06463
16/11/2060,36.060757
16/12/2060,36.04815
16/01/2061,35.999374
15/02/2061,35.98271
16/03/2061,35.989033
16/04/2061,35.987736
16/05/2061,35.989105
16/06/2061,35.994022
16/07/2061,36.00085
16/08/2061,36.006916
16/09/2061,36.01385
16/10/2061,36.020714
16/11/2061,36.02837
16/12/2061,36.029594
16/01/2062,36.00029
15/02/2062,35.981823
16/03/2062,35.97936
16/04/2062,36.000084
16/05/2062,36.009624
16/06/2062,36.014946
16/07/2062,36.020294
16/08/2062,36.026505
16/09/2062,36.03255
16/10/2062,36.038788
16/11/2062,36.043865
16/12/2062,36.043392
16/01/2063,36.036278
15/02/2063,36.019363
16/03/2063,36.010777
16/04/2063,36.00309
16/05/2063,36.001102
16/06/2063,36.0022
16/07/2063,36.005436
16/08/2063,36.01091
16/09/2063,36.017975
16/10/2063,36.027176
16/11/2063,36.036083
16/12/2063,36.038086
16/01/2064,36.017094
15/02/2064,36.004547
16/03/2064,36.006393
16/04/2064,36.00091
16/05/2064,35.998314
16/06/2064,36.001892
16/07/2064,36.0071
16/08/2064,36.01277
16/09/2064,36.01778
16/10/2064,36.021492
16/11/2064,36.021427
16/12/2064,36.01413
16/01/2065,35.98347
