Date,pH
16/01/2015,8.072444
15/02/2015,8.074032
16/03/2015,8.075162
16/04/2015,8.074964
16/05/2015,8.071137
16/06/2015,8.068383
16/07/2015,8.066278
16/08/2015,8.064964
16/09/2015,8.064039
16/10/2015,8.063255
16/11/2015,8.06329
16/12/2015,8.065911
16/01/2016,8.071158
15/02/2016,8.071985
16/03/2016,8.07104
16/04/2016,8.067774
16/05/2016,8.064408
16/06/2016,8.062069
16/07/2016,8.060451
16/08/2016,8.059356
16/09/2016,8.058677
16/10/2016,8.058128
16/11/2016,8.058139
16/12/2016,8.059653
16/01/2017,8.063282
15/02/2017,8.066789
16/03/2017,8.069189
16/04/2017,8.066848
16/05/2017,8.063497
16/06/2017,8.061157
16/07/2017,8.059415
16/08/2017,8.058288
16/09/2017,8.057686
16/10/2017,8.057259
16/11/2017,8.05715
16/12/2017,8.0573635
16/01/2018,8.062603
15/02/2018,8.069087
16/03/2018,8.069309
16/04/2018,8.067249
16/05/2018,8.0644455
16/06/2018,8.061801
16/07/2018,8.059689
16/08/2018,8.058416
16/09/2018,8.057662
16/10/2018,8.057081
16/11/2018,8.0564995
16/12/2018,8.057537
16/01/2019,8.064463
15/02/2019,8.067677
16/03/2019,8.06755
16/04/2019,8.066073
16/05/2019,8.062616
16/06/2019,8.059622
16/07/2019,8.057248
16/08/2019,8.055728
16/09/2019,8.054613
16/10/2019,8.053823
16/11/2019,8.053219
16/12/2019,8.055176
16/01/2020,8.061546
15/02/2020,8.062085
16/03/2020,8.062427
16/04/2020,8.0611105
16/05/2020,8.058752
16/06/2020,8.055881
16/07/2020,8.053817
16/08/2020,8.052229
16/09/2020,8.051147
16/10/2020,8.050472
16/11/2020,8.050247
16/12/2020,8.052637
16/01/2021,8.057835
15/02/2021,8.058974
16/03/2021,8.059902
16/04/2021,8.057867
16/05/2021,8.054461
16/06/2021,8.051797
16/07/2021,8.049954
16/08/2021,8.048755
16/09/2021,8.048024
16/10/2021,8.047223
16/11/2021,8.047469
16/12/2021,8.049283
16/01/2022,8.052738
15/02/2022,8.055212
16/03/2022,8.055436
16/04/2022,8.052841
16/05/2022,8.050275
16/06/2022,8.048283
16/07/2022,8.046795
16/08/2022,8.045963
16/09/2022,8.045435
16/10/2022,8.045341
16/11/2022,8.045434
16/12/2022,8.049739
16/01/2023,8.054446
15/02/2023,8.057407
16/03/2023,8.059327
16/04/2023,8.058386
16/05/2023,8.055011
16/06/2023,8.051989
16/07/2023,8.049723
16/08/2023,8.048306
16/09/2023,8.047578
16/10/2023,8.0469
16/11/2023,8.046754
16/12/2023,8.049749
16/01/2024,8.055959
15/02/2024,8.057542
16/03/2024,8.05726
16/04/2024,8.054671
16/05/2024,8.051312
16/06/2024,8.048899
16/07/2024,8.047062
16/08/2024,8.045831
16/09/2024,8.045067
16/10/2024,8.044291
16/11/2024,8.043514
16/12/2024,8.045272
16/01/2025,8.051199
15/02/2025,8.052149
16/03/2025,8.053246
16/04/2025,8.05072
16/05/2025,8.047567
16/06/2025,8.045228
16/07/2025,8.0437355
16/08/2025,8.042839
16/09/2025,8.042286
16/10/2025,8.041938
16/11/2025,8.041621
16/12/2025,8.045006
16/01/2026,8.047824
15/02/2026,8.050436
16/03/2026,8.052053
16/04/2026,8.050471
16/05/2026,8.047806
16/06/2026,8.045479
16/07/2026,8.043462
16/08/2026,8.0419035
16/09/2026,8.040725
16/10/2026,8.040002
16/11/2026,8.039526
16/12/2026,8.042544
16/01/2027,8.045637
15/02/2027,8.049472
16/03/2027,8.049194
16/04/2027,8.0483465
16/05/2027,8.044984
16/06/2027,8.042212
16/07/2027,8.040195
16/08/2027,8.038969
16/09/2027,8.038023
16/10/2027,8.037246
16/11/2027,8.036678
16/12/2027,8.03901
16/01/2028,8.044568
15/02/2028,8.04791
16/03/2028,8.047266
16/04/2028,8.047176
16/05/2028,8.043409
16/06/2028,8.039909
16/07/2028,8.037573
16/08/2028,8.036261
16/09/2028,8.035431
16/10/2028,8.034689
16/11/2028,8.034477
16/12/2028,8.037134
16/01/2029,8.0431795
15/02/2029,8.045139
16/03/2029,8.046145
16/04/2029,8.042936
16/05/2029,8.04083
16/06/2029,8.038009
16/07/2029,8.035949
16/08/2029,8.03453
16/09/2029,8.033609
16/10/2029,8.03286
16/11/2029,8.032478
16/12/2029,8.033012
16/01/2030,8.036606
15/02/2030,8.039136
16/03/2030,8.038798
16/04/2030,8.037503
16/05/2030,8.035837
16/06/2030,8.033974
16/07/2030,8.032127
16/08/2030,8.030963
16/09/2030,8.030166
16/10/2030,8.029767
16/11/2030,8.029916
16/12/2030,8.030674
16/01/2031,8.032689
15/02/2031,8.036395
16/03/2031,8.037805
16/04/2031,8.03791
16/05/2031,8.034568
16/06/2031,8.0318985
16/07/2031,8.029976
16/08/2031,8.028811
16/09/2031,8.028064
16/10/2031,8.027377
16/11/2031,8.026858
16/12/2031,8.027782
16/01/2032,8.029896
15/02/2032,8.0316515
16/03/2032,8.03266
16/04/2032,8.032459
