Date,pH
16/01/2015,8.072653
15/02/2015,8.0745945
16/03/2015,8.074541
16/04/2015,8.074463
16/05/2015,8.071868
16/06/2015,8.068685
16/07/2015,8.066527
16/08/2015,8.065024
16/09/2015,8.063932
16/10/2015,8.0631485
16/11/2015,8.062418
16/12/2015,8.0643
16/01/2016,8.070309
15/02/2016,8.074538
16/03/2016,8.074561
16/04/2016,8.071578
16/05/2016,8.06799
16/06/2016,8.065217
16/07/2016,8.063238
16/08/2016,8.061897
16/09/2016,8.060969
16/10/2016,8.06039
16/11/2016,8.060744
16/12/2016,8.06213
16/01/2017,8.064825
15/02/2017,8.068456
16/03/2017,8.069919
16/04/2017,8.066853
16/05/2017,8.063726
16/06/2017,8.061444
16/07/2017,8.0595665
16/08/2017,8.058285
16/09/2017,8.057625
16/10/2017,8.057147
16/11/2017,8.056942
16/12/2017,8.057779
16/01/2018,8.060239
15/02/2018,8.064937
16/03/2018,8.066477
16/04/2018,8.064998
16/05/2018,8.061965
16/06/2018,8.059409
16/07/2018,8.057524
16/08/2018,8.056361
16/09/2018,8.055506
16/10/2018,8.054957
16/11/2018,8.055071
16/12/2018,8.056907
16/01/2019,8.05996
15/02/2019,8.0613785
16/03/2019,8.061339
16/04/2019,8.059095
16/05/2019,8.05687
16/06/2019,8.054741
16/07/2019,8.053376
16/08/2019,8.052537
16/09/2019,8.0520735
16/10/2019,8.051836
16/11/2019,8.051737
16/12/2019,8.051733
16/01/2020,8.055109
15/02/2020,8.060903
16/03/2020,8.061361
16/04/2020,8.059571
16/05/2020,8.057286
16/06/2020,8.055718
16/07/2020,8.0538
16/08/2020,8.052359
16/09/2020,8.051583
16/10/2020,8.05141
16/11/2020,8.051359
16/12/2020,8.051145
16/01/2021,8.055698
15/02/2021,8.060383
16/03/2021,8.063114
16/04/2021,8.061219
16/05/2021,8.058416
16/06/2021,8.055451
16/07/2021,8.053296
16/08/2021,8.051852
16/09/2021,8.050813
16/10/2021,8.049812
16/11/2021,8.049499
16/12/2021,8.053137
16/01/2022,8.05857
15/02/2022,8.060081
16/03/2022,8.05988
16/04/2022,8.057899
16/05/2022,8.055861
16/06/2022,8.053536
16/07/2022,8.051502
16/08/2022,8.050321
16/09/2022,8.049477
16/10/2022,8.048903
16/11/2022,8.048546
16/12/2022,8.050233
16/01/2023,8.053379
15/02/2023,8.056732
16/03/2023,8.057312
16/04/2023,8.055173
16/05/2023,8.052934
16/06/2023,8.050434
16/07/2023,8.048488
16/08/2023,8.047242
16/09/2023,8.046512
16/10/2023,8.046073
16/11/2023,8.0459585
16/12/2023,8.046138
16/01/2024,8.049503
15/02/2024,8.052646
16/03/2024,8.053409
16/04/2024,8.051699
16/05/2024,8.049758
16/06/2024,8.048008
16/07/2024,8.0466795
16/08/2024,8.045691
16/09/2024,8.044853
16/10/2024,8.044103
16/11/2024,8.043005
16/12/2024,8.042829
16/01/2025,8.046095
15/02/2025,8.0505295
16/03/2025,8.050823
16/04/2025,8.049286
16/05/2025,8.047281
16/06/2025,8.045122
16/07/2025,8.043483
16/08/2025,8.042499
16/09/2025,8.041976
16/10/2025,8.041823
16/11/2025,8.04205
16/12/2025,8.042624
16/01/2026,8.046546
15/02/2026,8.048724
16/03/2026,8.049406
16/04/2026,8.049736
16/05/2026,8.046577
16/06/2026,8.044097
16/07/2026,8.042086
16/08/2026,8.040888
16/09/2026,8.040202
16/10/2026,8.0398655
16/11/2026,8.039548
16/12/2026,8.040361
16/01/2027,8.045459
15/02/2027,8.049717
16/03/2027,8.051272
16/04/2027,8.0496435
16/05/2027,8.0461855
16/06/2027,8.043549
16/07/2027,8.041656
16/08/2027,8.04039
16/09/2027,8.0395775
16/10/2027,8.038766
16/11/2027,8.038282
16/12/2027,8.039992
16/01/2028,8.045231
15/02/2028,8.045669
16/03/2028,8.046407
16/04/2028,8.046671
16/05/2028,8.042951
16/06/2028,8.0403595
16/07/2028,8.038148
16/08/2028,8.036538
16/09/2028,8.035574
16/10/2028,8.03482
16/11/2028,8.034715
16/12/2028,8.036971
16/01/2029,8.041936
15/02/2029,8.04377
16/03/2029,8.043008
16/04/2029,8.041221
16/05/2029,8.038366
16/06/2029,8.035525
16/07/2029,8.033318
16/08/2029,8.031866
16/09/2029,8.030913
16/10/2029,8.030305
16/11/2029,8.03068
16/12/2029,8.033234
16/01/2030,8.038204
15/02/2030,8.04132
16/03/2030,8.0409975
16/04/2030,8.039552
16/05/2030,8.036012
16/06/2030,8.033566
16/07/2030,8.03176
16/08/2030,8.030594
16/09/2030,8.029943
16/10/2030,8.029376
16/11/2030,8.028877
16/12/2030,8.030044
16/01/2031,8.034965
15/02/2031,8.037738
16/03/2031,8.03723
16/04/2031,8.035281
16/05/2031,8.0335045
16/06/2031,8.031107
16/07/2031,8.029189
16/08/2031,8.027998
16/09/2031,8.027307
16/10/2031,8.026777
16/11/2031,8.026769
16/12/2031,8.027632
16/01/2032,8.031728
15/02/2032,8.036952
16/03/2032,8.038748
16/04/2032,8.038033
16/05/2032,8.0348215
16/06/2032,8.032137
16/07/2032,8.029984
16/08/2032,8.028733
16/09/2032,8.027954
16/10/2032,8.027424
16/11/2032,8.027343
16/12/2032,8.030217
16/01/2033,8.032141
15/02/2033,8.035454
16/03/2033,8.036624
16/04/2033,8.035353
16/05/2033,8.032085
16/06/2033,8.029721
16/07/2033,8.027964
16/08/2033,8.026911
16/09/2033,8.02638
16/10/2033,8.0258875
16/11/2033,8.025571
16/12/2033,8.028628
16/01/2034,8.032113
15/02/2034,8.034369
16/03/2034,8.037731
16/04/2034,8.035306
16/05/2034,8.032496
16/06/2034,8.030126
16/07/2034,8.028132
16/08/2034,8.026865
16/09/2034,8.025984
16/10/2034,8.025452
16/11/2034,8.025311
16/12/2034,8.025978
16/01/2035,8.030759
15/02/2035,8.0341015
16/03/2035,8.0363655
16/04/2035,8.036496
16/05/2035,8.033873
16/06/2035,8.030425
16/07/2035,8.027909
16/08/2035,8.026336
16/09/2035,8.025484
16/10/2035,8.024649
16/11/2035,8.024346
16/12/2035,8.026287
16/01/2036,8.029794
15/02/2036,8.030964
16/03/2036,8.031234
16/04/2036,8.030584
16/05/2036,8.028962
16/06/2036,8.026673
16/07/2036,8.024993
16/08/2036,8.024135
16/09/2036,8.023289
16/10/2036,8.022562
16/11/2036,8.022526
16/12/2036,8.024466
16/01/2037,8.02706
15/02/2037,8.030771
16/03/2037,8.032757
16/04/2037,8.03217
16/05/2037,8.029409
16/06/2037,8.027252
16/07/2037,8.025684
16/08/2037,8.024579
16/09/2037,8.023679
16/10/2037,8.022935
16/11/2037,8.0223875
16/12/2037,8.023564
16/01/2038,8.027625
15/02/2038,8.031759
16/03/2038,8.032793
16/04/2038,8.0302
16/05/2038,8.027335
16/06/2038,8.024883
16/07/2038,8.0230665
16/08/2038,8.021899
16/09/2038,8.02113
16/10/2038,8.020511
16/11/2038,8.019877
16/12/2038,8.021111
16/01/2039,8.024732
15/02/2039,8.027424
16/03/2039,8.030298
16/04/2039,8.03006
16/05/2039,8.026653
16/06/2039,8.024319
16/07/2039,8.022047
16/08/2039,8.020644
16/09/2039,8.019806
16/10/2039,8.019184
16/11/2039,8.019596
16/12/2039,8.021716
16/01/2040,8.023847
15/02/2040,8.028348
16/03/2040,8.029699
16/04/2040,8.027743
16/05/2040,8.025846
16/06/2040,8.023116
16/07/2040,8.021047
16/08/2040,8.019682
