Date,Salinity
16/01/2015,35.9353
15/02/2015,35.93701
16/03/2015,35.945343
16/04/2015,35.952023
16/05/2015,35.949306
16/06/2015,35.9483
16/07/2015,35.946617
16/08/2015,35.94713
16/09/2015,35.949425
16/10/2015,35.952343
16/11/2015,35.95347
16/12/2015,35.934795
16/01/2016,35.904205
15/02/2016,35.895863
16/03/2016,35.879738
16/04/2016,35.873646
16/05/2016,35.87651
16/06/2016,35.87975
16/07/2016,35.88386
16/08/2016,35.889854
16/09/2016,35.897587
16/10/2016,35.90564
16/11/2016,35.91243
16/12/2016,35.913414
16/01/2017,35.89309
15/02/2017,35.887
16/03/2017,35.882137
16/04/2017,35.882935
16/05/2017,35.88764
16/06/2017,35.892056
16/07/2017,35.897163
16/08/2017,35.905163
16/09/2017,35.91642
16/10/2017,35.926655
16/11/2017,35.938408
16/12/2017,35.941
16/01/2018,35.90829
15/02/2018,35.9098
16/03/2018,35.89914
16/04/2018,35.900875
16/05/2018,35.90687
16/06/2018,35.91061
16/07/2018,35.915794
16/08/2018,35.924583
16/09/2018,35.93402
16/10/2018,35.943226
16/11/2018,35.951588
16/12/2018,35.95251
16/01/2019,35.90909
15/02/2019,35.893593
16/03/2019,35.893734
16/04/2019,35.89976
16/05/2019,35.90059
16/06/2019,35.90548
16/07/2019,35.91186
16/08/2019,35.92131
16/09/2019,35.93399
16/10/2019,35.947826
16/11/2019,35.95802
16/12/2019,35.951393
16/01/2020,35.917305
15/02/2020,35.901928
16/03/2020,35.895687
16/04/2020,35.89136
16/05/2020,35.890343
16/06/2020,35.889256
16/07/2020,35.89349
16/08/2020,35.899498
16/09/2020,35.90624
16/10/2020,35.915745
16/11/2020,35.92221
16/12/2020,35.913074
16/01/2021,35.8832
15/02/2021,35.875755
16/03/2021,35.87506
16/04/2021,35.862774
16/05/2021,35.86257
16/06/2021,35.8681
16/07/2021,35.876186
16/08/2021,35.88654
16/09/2021,35.896767
16/10/2021,35.90705
16/11/2021,35.91345
16/12/2021,35.907352
16/01/2022,35.88784
15/02/2022,35.881588
16/03/2022,35.88402
16/04/2022,35.889153
16/05/2022,35.89625
16/06/2022,35.90632
16/07/2022,35.91767
16/08/2022,35.928852
16/09/2022,35.938488
16/10/2022,35.94733
16/11/2022,35.95552
16/12/2022,35.94276
16/01/2023,35.92814
15/02/2023,35.91581
16/03/2023,35.930885
16/04/2023,35.933376
16/05/2023,35.93068
16/06/2023,35.93323
16/07/2023,35.938675
16/08/2023,35.947
16/09/2023,35.956684
16/10/2023,35.967453
16/11/2023,35.97777
16/12/2023,35.975548
16/01/2024,35.972282
15/02/2024,35.95522
16/03/2024,35.949696
16/04/2024,35.950665
16/05/2024,35.94945
16/06/2024,35.951046
16/07/2024,35.954716
16/08/2024,35.959984
16/09/2024,35.964794
16/10/2024,35.96925
16/11/2024,35.97192
16/12/2024,35.94823
16/01/2025,35.904613
15/02/2025,35.89729
16/03/2025,35.903545
16/04/2025,35.900932
16/05/2025,35.902966
16/06/2025,35.908653
16/07/2025,35.917267
16/08/2025,35.92847
16/09/2025,35.9391
16/10/2025,35.949432
16/11/2025,35.962368
16/12/2025,35.943672
16/01/2026,35.933495
15/02/2026,35.925014
16/03/2026,35.934563
16/04/2026,35.93577
16/05/2026,35.93651
16/06/2026,35.944588
16/07/2026,35.95199
